,WChampEvent,Country,Discipline,Gold,Silver,Bronze,Total
1,Wchamp 2021,Germany,Combined,1,1,0,2
2,Wchamp 2021,Austria,Combined,1,0,0,1
3,Wchamp 2021,Slovenia,Combined,0,1,0,1
4,Wchamp 2021,Iran (Islamic Republic of),Combined,0,0,1,1
5,Wchamp 2021,Ukraine,Combined,0,0,1,1
6,WChamp 2019 All,Japan,Combined,1,1,0,2
7,WChamp 2019 All,Slovenia,Combined,1,0,0,1
8,WChamp 2019 All,Austria,Combined,0,1,0,1
9,WChamp 2019 All,United Kingdom,Combined,0,0,1,1
10,WChamp 2019 All,Kazakhstan,Combined,0,0,1,1
11,WChamp 2018 All,Austria,Combined,1,0,1,2
12,WChamp 2018 All,Slovenia,Combined,1,0,0,1
13,WChamp 2018 All,Republic of Korea,Combined,0,1,0,1
14,WChamp 2018 All,Czechia,Combined,0,1,0,1
15,WChamp 2018 All,Germany,Combined,0,0,1,1
16,WChamp 2016 All,France,Combined,0,1,1,2
17,WChamp 2016 All,Russia,Combined,1,0,0,1
18,WChamp 2016 All,Canada,Combined,1,0,0,1
19,WChamp 2016 All,United States of America,Combined,0,1,0,1
20,WChamp 2016 All,Germany,Combined,0,0,1,1
21,WChamp 2014 Lead Speed Combined,France,Combined,1,0,1,2
22,WChamp 2014 Lead Speed Combined,Canada,Combined,1,0,0,1
23,WChamp 2014 Lead Speed Combined,Switzerland,Combined,0,1,0,1
24,WChamp 2014 Lead Speed Combined,Germany,Combined,0,1,0,1
25,WChamp 2014 Lead Speed Combined,Slovenia,Combined,0,0,1,1
26,WChamp 2012 All,Switzerland,Combined,0,0,2,2
27,WChamp 2012 All,Republic of Korea,Combined,1,0,0,1
28,WChamp 2012 All,Canada,Combined,1,0,0,1
29,WChamp 2012 All,France,Combined,0,1,0,1
30,WChamp 2012 All,Germany,Combined,0,1,0,1
